record_id,fold,MW,native,head_plus_lora_500,pEC50,absolute_prediction_change,budget,method
nesso_00185e17d4a7bef0f788,3.0,319.44500000000005,4.734938621520996,4.445798397064209,4.36,0.2891402244567871,500,head_plus_lora
nesso_00439432fbc3d5cd82f9,2.0,323.3179999999999,5.024440288543701,4.8608012199401855,5.41,0.16363906860351562,500,head_plus_lora
nesso_004fa1ed5b05a82c5fe2,1.0,437.5400000000003,4.894853115081787,4.868293762207031,5.01,0.02655935287475586,500,head_plus_lora
nesso_005ba886a4b27089d816,3.0,378.46900000000016,5.104174613952637,4.88490629196167,5.07,0.2192683219909668,500,head_plus_lora
nesso_005ea597edb009619d89,3.0,334.8070000000001,4.910054683685303,4.827001571655273,5.03,0.0830531120300293,500,head_plus_lora
nesso_007d94f2c6c76f78f154,1.0,298.39,5.351618766784668,4.858380317687988,3.62,0.4932384490966797,500,head_plus_lora
nesso_00886301e66a6b65117c,0.0,383.45600000000013,4.587523460388184,4.121973991394043,2.34,0.4655494689941406,500,head_plus_lora
nesso_00acab1e8db124595e65,3.0,368.4620000000001,5.016941070556641,4.914708137512207,5.915,0.1022329330444336,500,head_plus_lora
nesso_00d6af6adb2d7cb2038c,2.0,345.38800000000003,4.6320600509643555,4.410732269287109,3.73,0.2213277816772461,500,head_plus_lora
nesso_00dce94c2ecb99cae04c,1.0,397.298,5.327427864074707,5.370713710784912,4.73,0.04328584671020508,500,head_plus_lora
nesso_00e9be39e7ebc5483a43,4.0,439.2990000000002,5.582679271697998,5.585775375366211,5.48,0.0030961036682128906,500,head_plus_lora
nesso_00ec3e82ea411a0f366b,2.0,354.4540000000002,4.804683685302734,4.669329643249512,5.21,0.13535404205322266,500,head_plus_lora
nesso_00f69ffdf14cd14dd163,0.0,349.24300000000005,5.396252155303955,5.099416732788086,4.84,0.29683542251586914,500,head_plus_lora
nesso_00ffdeb4a5ae34db60a5,2.0,286.45900000000006,6.276876926422119,5.4876508712768555,4.86,0.7892260551452637,500,head_plus_lora
nesso_012851a15babc0f24b94,2.0,311.76500000000016,4.7736968994140625,4.462747573852539,4.86,0.31094932556152344,500,head_plus_lora
nesso_013e7d360dd9dcf37a34,1.0,360.41700000000003,4.791618347167969,4.6093950271606445,5.74,0.18222332000732422,500,head_plus_lora
nesso_0173f6e9d9dff0748980,4.0,297.33299999999997,5.042234897613525,4.863242149353027,4.44,0.17899274826049805,500,head_plus_lora
nesso_0176ed6ddb7f5774b92b,1.0,349.4590000000001,5.033061504364014,4.854863166809082,5.3,0.17819833755493164,500,head_plus_lora
nesso_01799c36f36d12605944,3.0,384.259,5.575399398803711,5.059713363647461,5.88,0.51568603515625,500,head_plus_lora
nesso_017c6482b04ed81527be,1.0,337.44500000000005,5.627518177032471,5.442518711090088,4.75,0.1849994659423828,500,head_plus_lora
nesso_0191f538cb5d18dcbc93,4.0,323.318,5.150721073150635,5.16340446472168,4.43,0.012683391571044922,500,head_plus_lora
nesso_0196d9d3e6d1cac52135,2.0,383.92000000000013,5.075448989868164,4.488029479980469,4.57,0.5874195098876953,500,head_plus_lora
nesso_019c81eb619218d5bb65,1.0,306.362,4.617992401123047,4.041759014129639,2.27,0.5762333869934082,500,head_plus_lora
nesso_01c65989fac6e0cf4e57,4.0,358.41700000000003,5.464383602142334,5.410750389099121,5.54,0.05363321304321289,500,head_plus_lora
