record_id,MW,ecdf,value,variable,stratum,denominator
nesso_9e941dec74e7817f80d3,308.81200000000007,0.000321853878339234,0.205,Emax_ratio,MW ≥215 Da,3107
nesso_79681f8705183feb02b9,378.47200000000004,0.000643707756678468,0.234,Emax_ratio,MW ≥215 Da,3107
nesso_6c1674ba3aecbf1ada87,403.5070000000001,0.0009655616350177019,0.24,Emax_ratio,MW ≥215 Da,3107
nesso_534c89cc5c17f3e61528,410.9050000000001,0.001287415513356936,0.249,Emax_ratio,MW ≥215 Da,3107
nesso_53247eafd9ba189c5e7b,415.8520000000001,0.0016092693916961698,0.263,Emax_ratio,MW ≥215 Da,3107
nesso_31260cdec7e055096c27,348.72099999999995,0.0019311232700354038,0.266,Emax_ratio,MW ≥215 Da,3107
nesso_a459262fef7603d1b046,349.8180000000001,0.002252977148374638,0.267,Emax_ratio,MW ≥215 Da,3107
nesso_8f8beff38f9c84710d4d,287.323,0.002574831026713872,0.269,Emax_ratio,MW ≥215 Da,3107
nesso_cf583ba819a60a7d4006,274.32400000000007,0.002896684905053106,0.272,Emax_ratio,MW ≥215 Da,3107
nesso_3c672845c93fbc3b0ad8,357.4100000000001,0.0032185387833923397,0.28,Emax_ratio,MW ≥215 Da,3107
nesso_3d9e62ff45f54cb65cb6,349.45500000000004,0.003540392661731574,0.28,Emax_ratio,MW ≥215 Da,3107
nesso_7f863a8cc56a6afdf476,366.25900000000007,0.0038622465400708077,0.286,Emax_ratio,MW ≥215 Da,3107
nesso_6ace4e2d917b364c933b,313.4050000000001,0.0041841004184100415,0.293,Emax_ratio,MW ≥215 Da,3107
nesso_f05ea00b93ac5f064eaa,324.83299999999997,0.004505954296749276,0.293,Emax_ratio,MW ≥215 Da,3107
nesso_576bebe4416ff590edc8,307.737,0.00482780817508851,0.3,Emax_ratio,MW ≥215 Da,3107
nesso_ae9fd596ccd030217a76,335.367,0.005149662053427744,0.313,Emax_ratio,MW ≥215 Da,3107
nesso_198b16eaed563d147f6e,307.39400000000006,0.0054715159317669775,0.314,Emax_ratio,MW ≥215 Da,3107
nesso_c8711ff99764d8fec2b6,381.3140000000001,0.005793369810106212,0.32,Emax_ratio,MW ≥215 Da,3107
nesso_f2a5c49b0cf6c2a1a568,328.821,0.006115223688445446,0.32,Emax_ratio,MW ≥215 Da,3107
nesso_55b984781dc8f548880d,390.3690000000001,0.006437077566784679,0.323,Emax_ratio,MW ≥215 Da,3107
nesso_ac396d623c2967360851,323.35200000000003,0.0067589314451239136,0.325,Emax_ratio,MW ≥215 Da,3107
nesso_f4372b6fcbdbc55e67aa,469.90700000000015,0.007080785323463148,0.327,Emax_ratio,MW ≥215 Da,3107
nesso_07bb767a30efccdd941f,370.4820000000001,0.007402639201802382,0.329,Emax_ratio,MW ≥215 Da,3107
nesso_d0278a3fcf9e713c8b9e,367.4310000000001,0.007724493080141615,0.337,Emax_ratio,MW ≥215 Da,3107
nesso_17b8484c62f9fe1da054,347.4150000000001,0.00804634695848085,0.341,Emax_ratio,MW ≥215 Da,3107
nesso_8c4b208138b8b1f6531d,314.45500000000004,0.008368200836820083,0.344,Emax_ratio,MW ≥215 Da,3107
nesso_ed1e7810302ca6c17e41,344.3670000000001,0.008690054715159318,0.344,Emax_ratio,MW ≥215 Da,3107
nesso_3f20b8cf58459bf7ce2a,335.41100000000006,0.009011908593498551,0.351,Emax_ratio,MW ≥215 Da,3107
nesso_a4b694ad2d71244edb80,348.4540000000001,0.009333762471837787,0.358,Emax_ratio,MW ≥215 Da,3107
nesso_4adf82aa64064a501d9d,341.4110000000001,0.00965561635017702,0.363,Emax_ratio,MW ≥215 Da,3107
nesso_eedb8a993e3fb68b81c4,405.4830000000001,0.009977470228516253,0.374,Emax_ratio,MW ≥215 Da,3107
nesso_33aabcbee2fb30a18fc1,421.5260000000002,0.010299324106855488,0.375,Emax_ratio,MW ≥215 Da,3107
nesso_af78976fae3b32ffa8a2,334.3660000000001,0.010621177985194722,0.375,Emax_ratio,MW ≥215 Da,3107
nesso_e2c01fedca1566720d67,275.348,0.010943031863533955,0.379,Emax_ratio,MW ≥215 Da,3107
nesso_e3bafbdd1585d326c35c,360.86599999999993,0.01126488574187319,0.403,Emax_ratio,MW ≥215 Da,3107
