budget,fold,record_id,smiles,y_true,native,head_only,head_plus_lora,weight,fit_similarity,budget_similarity,nearest_fit_id,nearest_fit_smiles,nearest_fit_y,comparison,change,abs_change,error_improvement,closer_to_nearest_label
100,1,nesso_4f5d960ee79593ed1c2e,NC1CCCCCC1,2.69,4.652284145355225,0.7165312767028809,0.2730603218078613,2.857142857142857,0.20833333333333334,0.20833333333333334,nesso_4f8524d2587b424c6c2a,NCC1CCCO1,1.92,head_only-minus-native,-3.9357528686523438,3.9357528686523438,-0.011184577941894425,True
100,1,nesso_99543dc096e020200214,CCN(CC)CC(=O)O,1.99,4.426504135131836,0.8674421310424805,0.4723668098449707,1.589825119236884,0.16666666666666666,0.16666666666666666,nesso_a9105cb39438983f89f2,CCOC1(C)CCN(C(=O)N(C)Cc2ccccc2)CC1,4.44,head_only-minus-native,-3.5590620040893555,3.5590620040893555,1.3139462661743162,False
100,1,nesso_9488ed207b0172efb5ab,OCCNCCO,2.6,4.374821662902832,1.973008155822754,1.1057672500610352,1.96078431372549,0.08928571428571429,0.08928571428571429,nesso_8b5352430a396a476500,CS(=O)(=O)Nc1cncc(C(=O)NCCOc2ccccc2-c2ccccc2)c1,4.58,head_only-minus-native,-2.401813507080078,2.401813507080078,1.1478298187255858,False
100,3,nesso_a4cf7afcb82693f38cab,FC(F)OC(F)(F)C(F)Cl,1.95,4.650294303894043,2.4835968017578125,2.7314562797546387,1.6155088852988693,0.06779661016949153,0.06896551724137931,nesso_77b73b14666dc4f5e3ae,O=S(=O)(Nc1ccn(-c2ncccc2F)n1)c1ccc(OC(F)(F)F)cc1,4.11,head_only-minus-native,-2.1666975021362305,2.1666975021362305,2.1666975021362305,False
100,3,nesso_56ced9f6b257bd2a4a19,CC[C@H](N)c1ccccc1,2.13,4.565845489501953,2.597815990447998,2.141446590423584,1.557632398753894,0.24324324324324326,0.24324324324324326,nesso_dc6d287476c3daac7ac7,CNC[C@H](O)c1cccc(O)c1,1.82,head_only-minus-native,-1.968029499053955,1.968029499053955,1.968029499053955,True
100,2,nesso_d56743fcc2227244cd4a,NCc1ccc(Cl)cc1,2.67,4.4404296875,2.5255322456359863,2.6036877632141118,2.610966057441253,0.1875,0.1875,nesso_8da8c70260852b2529a2,NS(=O)(=O)c1sccc1CNC1Cc2ccc(Cl)cc2C1,5.14,head_only-minus-native,-1.9148974418640137,1.9148974418640137,1.6259619331359865,False
100,3,nesso_d130f083c4473c792aa4,NCc1cccnc1,1.92,4.402369499206543,2.5260539054870605,2.611824989318848,1.7006802721088436,0.2962962962962963,0.2962962962962963,nesso_ace866089cc68f593182,CC(Nc1ncnc2[nH]ccc12)c1ccc(OCc2cccnc2)cc1,1.91,head_only-minus-native,-1.8763155937194824,1.8763155937194824,1.8763155937194824,True
100,2,nesso_da1dbab5862cdb414db5,C#CCN(C)Cc1ccccc1,2.59,4.554770469665527,2.683187484741211,2.2390289306640625,1.6207455429497568,0.2222222222222222,0.2222222222222222,nesso_c344f6ef0195bbc54067,Cn1ncc(C(=O)N(Cc2ccccc2)C2CCCC2(C)C)c1C#N,5.975,head_only-minus-native,-1.8715829849243164,1.8715829849243164,1.8715829849243164,False
100,3,nesso_97fd17ddc3adcd3d769a,CC(C)CC(=O)O,2.9,4.333708763122559,2.4763851165771484,3.3435750007629395,3.095975232198142,0.2608695652173913,0.2608695652173913,nesso_05d914562aedcc78163a,N[C@H](CO)C(=O)O,2.02,head_only-minus-native,-1.8573236465454102,1.8573236465454102,1.0100938796997072,True
100,2,nesso_6a513ad86737c84947e6,NCc1ccccc1Cl,2.64,4.440840721130371,2.585556507110596,2.444182872772217,1.9047619047619049,0.17543859649122806,0.17543859649122806,nesso_237acec0863c39e6c01d,O=C1N(CCc2c[nH]c3c(Cl)cccc23)C(=O)C23CC(CN12)C3,5.18,head_only-minus-native,-1.855284214019775,1.855284214019775,1.746397228240967,False
100,2,nesso_ddbe7e870f20f6b490ce,C#CC(C)(C)N,2.01,4.376885414123535,2.6472883224487305,2.0110926628112797,1.572327044025157,0.0851063829787234,0.0851063829787234,nesso_7c9df9ec1b134831300b,COC1(CNC(=O)c2nnc(C(C)(C)C)o2)CCCCCC1,5.69,head_only-minus-native,-1.7295970916748047,1.7295970916748047,1.7295970916748047,False
100,4,nesso_dd61f927f3b12f6c73d7,NCc1ccccn1,2.02,4.239740371704102,2.549198865890503,0.3917112350463867,1.6051364365971108,0.2545454545454545,0.2545454545454545,nesso_3b9b7dff6782642a49dc,O=C(CSCCN1CCCC1)N1CCC(OCc2ccccn2)CC1,2.67,head_only-minus-native,-1.6905415058135986,1.6905415058135986,1.6905415058135986,True
100,3,nesso_4fcbf441c2b6849abd63,C1CCCNCC1,2.49,4.081295967102051,2.433015823364258,2.771371364593506,1.7152658662092626,0.18518518518518517,0.29411764705882354,nesso_a981ab78ea0d6214b752,c1ccc(CC2CCNCC2)cc1,3.1,head_only-minus-native,-1.648280143737793,1.648280143737793,1.5343117904663082,True
100,2,nesso_6ee4defca44f9b71acc8,COc1cccc(OC)c1C(=O)O,2.13,4.040403842926025,2.443323373794556,1.9583520889282229,1.680672268907563,0.22033898305084745,0.24074074074074073,nesso_48a07f811af2dec6f566,COc1cc(C(=O)NCCN2CCc3sccc3C2)ccc1C,4.67,head_only-minus-native,-1.5970804691314693,1.5970804691314693,1.5970804691314693,False
100,4,nesso_ea4f16d3e59f5fb0551a,COc1ccccc1CN,2.02,4.460509777069092,2.8973019123077397,2.12945294380188,1.6103059581320451,0.23636363636363636,0.23636363636363636,nesso_7757532381cd373218e3,COc1ccc(-c2cccc(C(=O)N(C)C3CCCCC3)c2)cc1CO,4.84,head_only-minus-native,-1.563207864761352,1.563207864761352,1.563207864761352,False
