budget,fold,record_id,smiles,y_true,native,head_only,head_plus_lora,weight,fit_similarity,budget_similarity,nearest_fit_id,nearest_fit_smiles,nearest_fit_y,MW,heavy_atoms,identity_formal_charge,feature_array_row,source_feature_row,row_id,prepared_smiles,prepared_formal_charge,prepared_is_charged,native_cached,norm_l2,centered_norm_l2,member1_norm_l2,member2_norm_l2,PC1,PC2,PC3,PC4,PC5,head_signed_change,head_magnitude,head_error_delta,lora_total_signed_change,lora_total_magnitude,lora_total_error_delta,lora_increment_signed_change,lora_increment_magnitude,lora_increment_error_delta
100,0,nesso_00dce94c2ecb99cae04c,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,4.73,5.327427864074707,5.432847499847412,5.657762050628662,10.0,0.20930232558139536,0.20930232558139536,nesso_4f2854769365e1e8497d,CCN(CC)C(CNS(=O)(=O)c1ccc2c(c1)CCCC(=O)N2)c1ccco1,4.73,397.298,23,0,9,13,OADMET-0002654,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,0,0,5.327427864074707,15.948726255477892,6.817298226955761,15.374578929419298,4.240777277248352,-5.671336581194394,2.805977193903138,-0.07180088478811009,0.15149444532971046,0.2664343601022051,0.10541963577270508,0.10541963577270508,0.10541963577270508,0.3303341865539551,0.3303341865539551,0.3303341865539551,0.22491455078125,0.22491455078125,0.22491455078125
100,0,nesso_00ffdeb4a5ae34db60a5,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,4.86,6.276876926422119,6.151637077331543,5.921281814575195,9.25925925925926,0.11688311688311688,0.11688311688311688,nesso_5ed0df5ada6f02997404,Cc1cn(C(C)C)nc1NC(=O)Cc1cn2c(n1)CCCC2,4.49,286.45900000000006,21,0,13,17,OADMET-0003796,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,0,0,6.276876926422119,18.122812331698462,12.756245094542056,17.29868977752922,5.402930574305753,-8.321975914604662,7.036898041937919,3.9868930634548754,-2.2198893226604373,0.8946583122759106,-0.12523984909057617,0.12523984909057617,-0.12523984909057617,-0.35559511184692383,0.35559511184692383,-0.35559511184692383,-0.23035526275634766,0.23035526275634766,-0.23035526275634766
100,0,nesso_012851a15babc0f24b94,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,4.86,4.773696899414063,4.463110446929932,4.298518180847168,7.8125,0.21052631578947367,0.21052631578947367,nesso_b95113ce43355ef6b9aa,O=C(NC(c1cccc(Cl)c1)C1CCCCC1)c1ccc(=O)[nH]n1,5.18,311.76500000000016,21,0,14,18,OADMET-0005719,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,0,0,4.7736968994140625,19.82265660832005,4.081002223260537,18.38345706816191,7.415269464720915,-0.3333720566693567,-1.7451628614506485,0.1371662198179474,2.675669627090209,1.1380053887938915,-0.31058645248413175,0.31058645248413175,0.31058645248413175,-0.4751787185668954,0.4751787185668954,0.4751787185668954,-0.16459226608276367,0.16459226608276367,0.16459226608276367
100,0,nesso_013e7d360dd9dcf37a34,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,5.74,4.791618347167969,4.7684478759765625,4.6822028160095215,10.0,0.23684210526315788,0.23684210526315788,nesso_9b6f9670504fb9b75a27,O=C(COc1ccc(C(=O)c2ccccc2)cc1)NC1CCN(Cc2ccccc2)CC1,3.6,360.41700000000003,27,0,15,19,OADMET-0003505,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,0,0,4.791618347167969,17.56883466678838,5.73351113173675,17.01579879631756,4.37339031784072,2.899900668737979,-2.609965977916046,-1.9317611411365951,-2.0843058949449045,-2.2961596620606866,-0.02317047119140625,0.02317047119140625,0.02317047119140625,-0.10941553115844727,0.10941553115844727,0.10941553115844727,-0.08624505996704102,0.08624505996704102,0.08624505996704102
100,0,nesso_020daf20250e1ed79249,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,4.72,5.514037132263184,5.341102600097656,5.247727394104004,5.494505494505495,0.23076923076923078,0.23076923076923078,nesso_3c1998b84e4d68229c4f,COc1ccc(C(CNC(=O)[C@@H]2C[C@H]2C(F)(F)F)c2c[nH]c3ccccc23)cc1,4.81,399.36900000000014,28,0,27,31,OADMET-0004653,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,0,0,5.514037132263184,15.705408628522909,5.634611492029189,15.08567834014806,4.368314229364635,-3.6475490203817147,0.9511455375856507,0.7333159387040588,-1.2316940021215377,3.7043800467356274,-0.17293453216552734,0.17293453216552734,-0.17293453216552734,-0.2663097381591797,0.2663097381591797,-0.2663097381591797,-0.09337520599365234,0.09337520599365234,-0.09337520599365234
100,0,nesso_02515970249133cc7bb7,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,3.76,4.880999565124512,4.786780834197998,4.497429847717285,5.319148936170213,0.1839080459770115,0.1839080459770115,nesso_9e9eba16d495d8c47153,Cc1cccc(C)c1C1CCCN1C(=O)NC(c1ccccc1)C1CCOC1,5.64,314.42900000000014,23,0,31,35,OADMET-0001043,C1=C([C@@]23CCC[NH+](Cc4ccccn4)[C@H]2CCOC3)CCOC1,1,1,4.880999565124512,19.21895726784041,3.6752832553456205,18.041407944225384,6.623889933650532,1.6232176947850463,-2.4771875754468433,0.002697277567399528,1.260039653669932,0.7659095397015362,-0.09421873092651367,0.09421873092651367,-0.09421873092651367,-0.38356971740722656,0.38356971740722656,-0.38356971740722656,-0.2893509864807129,0.2893509864807129,-0.2893509864807129
100,0,nesso_030dc4795f3b2e2b36e6,CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,5.19,5.201016426086426,4.962285995483398,5.1086955070495605,10.0,0.20481927710843373,0.2345679012345679,nesso_538bbb3c8555157cb318,CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1cccc(C(F)(F)F)c1,5.72,360.5270000000002,25,0,38,47,OADMET-0002808,CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,0,0,5.201016426086426,15.88092516549069,6.049127744282926,15.575056124700119,3.1018399095306135,-5.054248238706532,2.300053160957837,-0.8026790250053288,-1.4653567123527496,-0.8201782447946372,-0.23873043060302734,0.23873043060302734,0.21669757843017656,-0.09232091903686523,0.09232091903686523,0.07028806686401445,0.1464095115661621,0.1464095115661621,-0.1464095115661621
100,0,nesso_040e1cf62f3a4de7fb6f,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,2.01,4.937189102172852,4.238709449768066,4.368758201599121,1.550387596899225,0.3,0.3,nesso_05d914562aedcc78163a,N[C@H](CO)C(=O)O,2.02,182.222,10,0,52,63,OADMET-0003748,O=C([O-])[C@@H](S)[C@@H](S)C(=O)[O-],-2,1,4.937189102172852,21.789608119327024,11.067141805873321,21.23524896673937,4.883771423238067,-7.422852920968996,5.88808244018189,2.7375804153242553,2.2967653562743795,-3.561544798903486,-0.6984796524047852,0.6984796524047852,-0.6984796524047852,-0.5684309005737305,0.5684309005737305,-0.5684309005737305,0.1300487518310547,0.1300487518310547,0.1300487518310547
100,0,nesso_04646ee5e59068fb95de,C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,3.43,4.792555809020996,4.731490135192871,4.682635307312012,4.385964912280701,0.25274725274725274,0.3218390804597701,nesso_aacc8f3c93b25bc7a204,C=CC(=O)N[C@H]1CN(C(=O)Cc2noc3ccc(F)cc23)C[C@@H]1C1CC1,3.52,369.4210000000001,27,0,56,67,OADMET-0001775,C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,0,0,4.792555809020996,16.80385094194514,3.9891361115646724,15.543841355555472,6.384230759647865,-2.567930817958329,-0.5352143893261259,-2.129113055941215,1.35461794733789,-0.65186235695036,-0.061065673828125,0.061065673828125,-0.061065673828125,-0.10992050170898438,0.10992050170898438,-0.10992050170898438,-0.048854827880859375,0.048854827880859375,-0.048854827880859375
100,0,nesso_04d830517677d42d485c,c1cn2ccnc2c(N2CCCCC3(CCCCC3)C2)n1,4.39,5.372729778289795,4.913467884063721,5.0943684577941895,3.937007874015748,0.2,0.2,nesso_a4a5232b70ff5ac17347,CSc1ccnc(N2CCCC(C)(CNC(=O)C3(C)CCC3)C2)n1,5.98,284.4069999999999,21,0,62,75,OADMET-0005713,c1cn2ccnc2c(N2CCCCC3(CCCCC3)C2)n1,0,0,5.372729778289795,15.019167220916462,6.91150555344732,14.56228388305125,3.6763122989318116,-4.945203747803006,2.354649503522656,-1.217686260444751,-2.743815825107264,-1.374512270582616,-0.4592618942260742,0.4592618942260742,-0.4592618942260742,-0.27836132049560547,0.27836132049560547,-0.27836132049560547,0.18090057373046875,0.18090057373046875,0.18090057373046875
